id,user_id,event_type,product_id,session_id,timestamp,metadata
1,159,login,,sess_7241,2022-11-06 14:22:13,"{""ip"": ""192.168.172.95""}"
2,144,add_to_cart,6.0,sess_3938,2022-09-24 06:11:04,"{""ip"": ""192.168.129.127""}"
3,120,purchase,17.0,sess_2468,2022-11-21 19:18:43,"{""ip"": ""192.168.111.37""}"
4,30,purchase,41.0,sess_1723,2022-05-11 18:10:32,"{""ip"": ""192.168.224.250""}"
5,192,purchase,47.0,sess_8046,2022-10-17 09:35:00,"{""ip"": ""192.168.157.213""}"
6,133,purchase,41.0,sess_8139,2022-06-18 11:29:18,"{""ip"": ""192.168.189.255""}"
7,196,search,,sess_3478,2023-07-24 23:56:09,"{""ip"": ""192.168.163.205""}"
8,14,search,,sess_4095,2022-06-02 01:59:12,"{""ip"": ""192.168.59.47""}"
9,121,page_view,34.0,sess_3679,2023-12-24 17:00:28,"{""ip"": ""192.168.112.30""}"
10,11,search,,sess_8233,2023-01-01 20:25:12,"{""ip"": ""192.168.125.118""}"
11,29,search,,sess_3425,2022-05-07 12:43:43,"{""ip"": ""192.168.24.53""}"
12,47,purchase,22.0,sess_9335,2022-10-07 20:30:25,"{""ip"": ""192.168.229.170""}"
13,55,login,,sess_1067,2023-06-23 20:46:54,"{""ip"": ""192.168.47.107""}"
14,64,page_view,99.0,sess_9161,2023-11-25 03:26:00,"{""ip"": ""192.168.228.85""}"
15,73,page_view,88.0,sess_2998,2023-02-08 13:36:03,"{""ip"": ""192.168.152.238""}"
16,83,page_view,20.0,sess_1473,2022-03-25 16:45:23,"{""ip"": ""192.168.213.182""}"
17,123,logout,,sess_8439,2023-10-06 09:48:20,"{""ip"": ""192.168.153.169""}"
18,85,page_view,6.0,sess_8423,2022-11-29 20:43:20,"{""ip"": ""192.168.34.55""}"
19,165,page_view,37.0,sess_6294,2022-02-26 02:34:29,"{""ip"": ""192.168.141.244""}"
20,98,login,,sess_2516,2023-02-13 09:17:24,"{""ip"": ""192.168.46.62""}"
21,23,search,,sess_1336,2022-08-02 05:55:56,"{""ip"": ""192.168.100.200""}"
22,73,search,,sess_3525,2022-05-04 10:52:11,"{""ip"": ""192.168.126.206""}"
23,189,search,,sess_6080,2023-12-03 21:58:23,"{""ip"": ""192.168.34.92""}"
24,25,logout,,sess_7020,2023-06-09 07:16:37,"{""ip"": ""192.168.126.115""}"
25,122,search,,sess_5398,2023-07-31 21:51:27,"{""ip"": ""192.168.109.24""}"
26,95,search,,sess_4053,2023-03-21 22:57:45,"{""ip"": ""192.168.110.24""}"
27,132,page_view,44.0,sess_8594,2023-11-24 08:09:50,"{""ip"": ""192.168.166.176""}"
28,40,logout,,sess_9115,2023-06-24 22:55:17,"{""ip"": ""192.168.166.135""}"
29,75,page_view,60.0,sess_8165,2022-03-23 17:23:21,"{""ip"": ""192.168.77.39""}"
30,176,add_to_cart,39.0,sess_5073,2023-06-20 15:34:23,"{""ip"": ""192.168.76.146""}"
31,142,page_view,10.0,sess_1738,2023-06-10 03:55:07,"{""ip"": ""192.168.131.109""}"
32,25,search,,sess_8612,2023-11-08 20:41:51,"{""ip"": ""192.168.209.65""}"
33,66,purchase,75.0,sess_2339,2023-05-31 00:35:32,"{""ip"": ""192.168.30.190""}"
34,119,logout,,sess_3941,2022-07-06 14:18:25,"{""ip"": ""192.168.12.22""}"
35,181,search,,sess_5876,2022-11-18 21:22:46,"{""ip"": ""192.168.186.117""}"
36,116,logout,,sess_5342,2022-12-16 06:48:55,"{""ip"": ""192.168.55.48""}"
37,192,page_view,78.0,sess_5248,2023-11-21 03:52:16,"{""ip"": ""192.168.112.137""}"
38,2,page_view,51.0,sess_2911,2022-01-14 06:15:09,"{""ip"": ""192.168.168.123""}"
39,178,search,,sess_7637,2023-11-05 21:54:50,"{""ip"": ""192.168.186.125""}"
40,159,purchase,79.0,sess_6910,2023-12-09 14:22:53,"{""ip"": ""192.168.206.78""}"
41,33,page_view,18.0,sess_1227,2022-07-15 04:04:28,"{""ip"": ""192.168.209.5""}"
42,49,logout,,sess_1439,2022-08-03 17:31:00,"{""ip"": ""192.168.167.38""}"
43,62,logout,,sess_8139,2023-10-04 19:36:33,"{""ip"": ""192.168.49.23""}"
44,198,purchase,60.0,sess_3427,2023-05-01 15:21:36,"{""ip"": ""192.168.6.30""}"
45,40,add_to_cart,95.0,sess_8295,2023-05-12 17:09:59,"{""ip"": ""192.168.6.221""}"
46,150,search,,sess_4975,2022-07-26 10:44:04,"{""ip"": ""192.168.146.213""}"
47,14,search,,sess_6469,2022-01-09 03:44:16,"{""ip"": ""192.168.162.217""}"
48,111,logout,,sess_7810,2023-05-23 21:04:06,"{""ip"": ""192.168.153.188""}"
49,75,login,,sess_1606,2023-05-15 14:33:06,"{""ip"": ""192.168.125.132""}"
50,186,login,,sess_8993,2022-08-26 02:12:36,"{""ip"": ""192.168.136.5""}"
51,148,search,,sess_6174,2023-07-21 02:18:44,"{""ip"": ""192.168.69.229""}"
52,107,logout,,sess_8755,2022-04-30 18:00:52,"{""ip"": ""192.168.160.241""}"
53,89,logout,,sess_8345,2023-12-16 15:52:57,"{""ip"": ""192.168.6.42""}"
54,186,purchase,25.0,sess_8688,2022-12-19 15:57:04,"{""ip"": ""192.168.60.130""}"
55,151,add_to_cart,88.0,sess_6556,2023-09-09 23:55:08,"{""ip"": ""192.168.120.34""}"
56,186,purchase,92.0,sess_7395,2023-03-03 23:45:24,"{""ip"": ""192.168.189.93""}"
57,42,search,,sess_4394,2022-10-17 03:08:17,"{""ip"": ""192.168.171.124""}"
58,45,add_to_cart,26.0,sess_3561,2023-09-13 17:55:11,"{""ip"": ""192.168.26.204""}"
59,127,search,,sess_5975,2022-08-29 07:37:30,"{""ip"": ""192.168.143.13""}"
60,92,page_view,34.0,sess_6849,2023-11-25 05:46:28,"{""ip"": ""192.168.45.212""}"
61,9,login,,sess_2043,2022-12-12 15:40:42,"{""ip"": ""192.168.30.159""}"
62,31,add_to_cart,72.0,sess_4671,2023-05-14 09:23:13,"{""ip"": ""192.168.255.88""}"
63,197,purchase,6.0,sess_5382,2022-06-04 18:45:52,"{""ip"": ""192.168.155.172""}"
64,181,page_view,7.0,sess_8173,2023-04-14 04:02:19,"{""ip"": ""192.168.250.28""}"
65,157,login,,sess_2669,2023-07-30 01:31:41,"{""ip"": ""192.168.130.27""}"
66,162,add_to_cart,16.0,sess_4365,2023-01-06 05:43:02,"{""ip"": ""192.168.187.75""}"
67,114,logout,,sess_9288,2023-05-26 03:36:54,"{""ip"": ""192.168.40.166""}"
68,86,purchase,18.0,sess_3014,2022-07-26 15:59:14,"{""ip"": ""192.168.249.107""}"
69,63,page_view,61.0,sess_6592,2022-10-21 18:23:14,"{""ip"": ""192.168.44.22""}"
70,96,purchase,92.0,sess_7799,2023-01-05 22:55:02,"{""ip"": ""192.168.171.63""}"
71,193,add_to_cart,97.0,sess_9677,2023-03-08 08:18:28,"{""ip"": ""192.168.36.206""}"
72,106,search,,sess_7706,2023-04-15 18:47:33,"{""ip"": ""192.168.204.175""}"
73,8,purchase,57.0,sess_3385,2022-01-11 18:50:09,"{""ip"": ""192.168.242.18""}"
74,87,page_view,41.0,sess_7580,2022-06-18 15:48:14,"{""ip"": ""192.168.16.101""}"
75,170,page_view,83.0,sess_3473,2023-08-12 02:06:17,"{""ip"": ""192.168.251.162""}"
76,170,logout,,sess_9516,2022-10-30 15:15:59,"{""ip"": ""192.168.103.227""}"
77,180,logout,,sess_5986,2022-11-18 12:31:49,"{""ip"": ""192.168.3.212""}"
78,136,purchase,79.0,sess_3406,2023-12-19 14:42:24,"{""ip"": ""192.168.115.165""}"
79,140,add_to_cart,80.0,sess_8244,2023-12-16 12:34:12,"{""ip"": ""192.168.228.208""}"
80,104,logout,,sess_4232,2022-11-05 03:04:06,"{""ip"": ""192.168.10.138""}"
81,100,purchase,93.0,sess_3064,2023-06-17 19:41:22,"{""ip"": ""192.168.73.55""}"
82,131,page_view,71.0,sess_6115,2023-06-18 12:24:17,"{""ip"": ""192.168.194.163""}"
83,6,add_to_cart,4.0,sess_9846,2023-08-30 09:25:07,"{""ip"": ""192.168.62.214""}"
84,186,purchase,55.0,sess_9278,2022-04-24 02:10:57,"{""ip"": ""192.168.216.96""}"
85,161,purchase,65.0,sess_6807,2022-05-07 01:44:16,"{""ip"": ""192.168.194.167""}"
86,115,page_view,39.0,sess_1085,2023-04-10 12:20:30,"{""ip"": ""192.168.252.61""}"
87,149,logout,,sess_9737,2023-09-02 08:30:49,"{""ip"": ""192.168.90.77""}"
88,171,purchase,92.0,sess_3293,2023-01-22 18:55:13,"{""ip"": ""192.168.189.64""}"
89,84,page_view,67.0,sess_4154,2023-01-05 16:32:27,"{""ip"": ""192.168.26.38""}"
90,109,logout,,sess_7751,2022-03-25 03:21:31,"{""ip"": ""192.168.16.109""}"
91,122,add_to_cart,28.0,sess_8309,2022-03-21 13:26:44,"{""ip"": ""192.168.174.135""}"
92,151,search,,sess_9502,2023-02-09 09:36:02,"{""ip"": ""192.168.150.128""}"
93,109,logout,,sess_8210,2023-12-07 17:49:25,"{""ip"": ""192.168.188.250""}"
94,42,search,,sess_3364,2023-06-02 04:37:42,"{""ip"": ""192.168.125.183""}"
95,34,search,,sess_9408,2023-06-26 04:17:54,"{""ip"": ""192.168.178.55""}"
96,122,search,,sess_1534,2022-06-10 20:21:12,"{""ip"": ""192.168.95.236""}"
97,155,page_view,53.0,sess_2807,2022-05-04 13:27:22,"{""ip"": ""192.168.147.75""}"
98,134,page_view,20.0,sess_2929,2023-01-16 11:06:07,"{""ip"": ""192.168.254.96""}"
99,76,purchase,63.0,sess_1458,2022-05-27 05:10:30,"{""ip"": ""192.168.201.151""}"
100,13,search,,sess_5999,2022-10-18 07:50:56,"{""ip"": ""192.168.47.210""}"
101,126,logout,,sess_1034,2022-05-06 19:56:06,"{""ip"": ""192.168.90.18""}"
102,107,page_view,62.0,sess_6074,2023-08-03 16:28:13,"{""ip"": ""192.168.231.87""}"
103,122,search,,sess_3175,2022-05-22 18:22:40,"{""ip"": ""192.168.163.118""}"
104,171,search,,sess_8357,2022-06-02 11:50:26,"{""ip"": ""192.168.23.205""}"
105,171,login,,sess_7711,2023-02-01 08:28:36,"{""ip"": ""192.168.231.102""}"
106,139,purchase,6.0,sess_8259,2022-10-12 23:31:01,"{""ip"": ""192.168.23.222""}"
107,182,add_to_cart,4.0,sess_6060,2023-07-29 23:29:22,"{""ip"": ""192.168.32.165""}"
108,22,login,,sess_4152,2023-09-26 19:43:39,"{""ip"": ""192.168.148.194""}"
109,146,page_view,67.0,sess_4103,2023-05-03 18:18:01,"{""ip"": ""192.168.230.5""}"
110,169,page_view,69.0,sess_3944,2022-01-20 10:00:39,"{""ip"": ""192.168.202.53""}"
111,181,add_to_cart,75.0,sess_8278,2022-03-28 19:25:32,"{""ip"": ""192.168.156.83""}"
112,151,search,,sess_1737,2023-05-19 00:50:49,"{""ip"": ""192.168.88.112""}"
113,107,add_to_cart,4.0,sess_9649,2022-11-21 13:54:30,"{""ip"": ""192.168.66.24""}"
114,26,page_view,70.0,sess_3755,2022-10-20 05:14:38,"{""ip"": ""192.168.47.66""}"
115,40,page_view,40.0,sess_7672,2023-11-26 06:09:36,"{""ip"": ""192.168.16.158""}"
116,47,purchase,4.0,sess_1958,2022-11-02 14:11:50,"{""ip"": ""192.168.26.82""}"
117,106,add_to_cart,42.0,sess_5225,2023-01-20 04:24:15,"{""ip"": ""192.168.14.52""}"
118,193,add_to_cart,77.0,sess_4874,2023-05-20 18:31:06,"{""ip"": ""192.168.193.130""}"
119,30,search,,sess_5412,2022-03-04 11:35:24,"{""ip"": ""192.168.119.142""}"
120,17,search,,sess_8932,2022-01-30 14:50:11,"{""ip"": ""192.168.163.60""}"
121,69,page_view,71.0,sess_2663,2022-09-10 20:11:46,"{""ip"": ""192.168.167.202""}"
122,78,add_to_cart,73.0,sess_7664,2023-04-02 03:03:18,"{""ip"": ""192.168.217.163""}"
123,53,login,,sess_3332,2023-01-18 19:40:36,"{""ip"": ""192.168.253.44""}"
124,138,add_to_cart,55.0,sess_8401,2022-02-12 00:02:11,"{""ip"": ""192.168.209.119""}"
125,75,login,,sess_3742,2022-01-01 02:11:27,"{""ip"": ""192.168.239.236""}"
126,70,search,,sess_5110,2023-11-28 13:50:27,"{""ip"": ""192.168.90.216""}"
127,55,logout,,sess_9361,2022-10-16 01:39:21,"{""ip"": ""192.168.42.190""}"
128,145,login,,sess_2145,2022-11-04 03:15:59,"{""ip"": ""192.168.102.179""}"
129,36,page_view,93.0,sess_5578,2023-03-19 07:40:36,"{""ip"": ""192.168.157.130""}"
130,175,purchase,44.0,sess_5282,2023-12-26 16:28:58,"{""ip"": ""192.168.70.63""}"
131,83,logout,,sess_6597,2022-08-04 16:44:26,"{""ip"": ""192.168.246.154""}"
132,5,purchase,89.0,sess_3190,2023-10-24 00:04:28,"{""ip"": ""192.168.156.122""}"
133,3,page_view,87.0,sess_3843,2023-02-28 20:14:08,"{""ip"": ""192.168.230.179""}"
134,126,logout,,sess_7435,2023-07-06 02:57:16,"{""ip"": ""192.168.202.225""}"
135,167,logout,,sess_2270,2023-07-06 01:07:36,"{""ip"": ""192.168.229.214""}"
136,114,logout,,sess_3022,2022-12-28 13:42:12,"{""ip"": ""192.168.212.154""}"
137,100,purchase,23.0,sess_1138,2022-05-08 16:50:46,"{""ip"": ""192.168.95.240""}"
138,114,add_to_cart,2.0,sess_4629,2022-01-21 10:14:08,"{""ip"": ""192.168.175.236""}"
139,92,logout,,sess_4137,2022-04-03 22:20:05,"{""ip"": ""192.168.161.78""}"
140,57,logout,,sess_4838,2023-05-21 13:12:59,"{""ip"": ""192.168.10.72""}"
141,181,search,,sess_4425,2022-01-08 07:08:21,"{""ip"": ""192.168.252.211""}"
142,102,logout,,sess_2817,2022-10-12 20:43:13,"{""ip"": ""192.168.129.127""}"
143,142,add_to_cart,25.0,sess_3875,2022-03-08 21:24:51,"{""ip"": ""192.168.33.191""}"
144,33,page_view,34.0,sess_4734,2023-06-20 09:59:16,"{""ip"": ""192.168.50.218""}"
145,6,logout,,sess_9731,2023-09-22 09:12:30,"{""ip"": ""192.168.175.144""}"
146,1,search,,sess_7997,2023-10-19 23:40:00,"{""ip"": ""192.168.14.219""}"
